ZULU,"04-07, 14:00"," Rubin Kazan U20 - Sochi U20","Rubin Kazan U20","Sochi U20",40,15,12,
ZULU,"04-07, 14:00"," Akademiya Konoplev U20 - Spartak Moskva U19","Akademiya Konoplev U20","Spartak Moskva U19",36,17,47,2
ZULU,"04-07, 14:00"," CSKA Moskva U19 - Ural U20","CSKA Moskva U19","Ural U20",53,41,5,2
ZULU,"04-07, 15:30"," Torpedo Zhodino - Molodechno-DYuSSh 4","Torpedo Zhodino",Molodechno,69,10,21," "
ZULU,"04-07, 16:00"," Lokomotiv Moskva U19 - Nizhny Novgorod U19","Lokomotiv Moskva U19","Nizhny Novgorod U19",62,13,25,"2 "
ZULU,"04-07, 16:00"," Krylya Sovetov U19 - Zenit U19","Krylya Sovetov U19","Zenit U19",22,25,53,"3 "
ZULU,"04-07, 17:00"," Surkhon - Buxoro",Surkhon,Buxoro,31,41,28," "
ZULU,"04-07, 17:00"," SKU Amstetten - FK Crvena Zvezda","SKU Amstetten","FK Crvena Zvezda",28,22,51,"4 "
ZULU,"04-07, 17:00"," Sogdiana - Kokand-1912",Sogdiana,Kokand,40,36,23," "
ZULU,"04-07, 17:00"," Kairat Almaty - Turan Turkistan","Kairat Almaty","Turan Turkistan",65,9,26," "
ZULU,"04-07, 17:00"," AC Oulu - KuPS","AC Oulu",KuPS,15,25,59,"5 "
ZULU,"04-07, 17:30"," JÃ¤PS - SalPa",JäPS,SalPa,48,26,26,"6 "
ZULU,"04-07, 17:30"," Reipas - VJS",Reipas,VJS,49,14,37,"2 "
ZULU,"04-07, 17:45"," Dinamo Brest - FC Slutsk","Dinamo Brest","FC Slutsk",54,26,20,"3 "
ZULU,"04-07, 18:00"," Naft Al-Janoob - Erbil","Naft Al",Janoob,24,38,38," "
ZULU,"04-07, 18:00"," Eintracht Bamberg - TSV 1860 MÃ¼nchen","Eintracht Bamberg","TSV 1860 München",30,7,63,"5 "
ZULU,"04-07, 18:00"," Paide - FC Levadia Tallinn",Paide,"FC Levadia Tallinn",17,50,34,"3 "
ZULU,"04-07, 18:00"," RÄ«gas FS - FK Liepaja","Rīgas FS","FK Liepaja",63,21,17,"5 "
ZULU,"04-07, 18:00"," Dinamo Moskva U19 - Akhmat Grozny U20","Dinamo Moskva U19","Akhmat Grozny U20",55,30,15,"3 "
ZULU,"04-07, 19:55"," Neman - FC Isloch Minsk R.",Neman,"FC Isloch Minsk R.",32,35,33," "
ZULU,"04-07, 20:00"," SÃ£o Caetano U20 - Inter Limeira U20","São Caetano U20","Inter Limeira U20",31,17,51,"2 "
ZULU,"04-07, 20:00"," Sport Huancayo - UTC","Sport Huancayo",UTC,42,32,27," "
ZULU,"04-07, 20:00"," Portuguesa U20 - Ãgua Santa U20","Portuguesa U20","Água Santa U20",37,33,31," "
ZULU,"04-07, 20:00"," Referencia U20 - Rio Claro SP U20","Referencia U20","Rio Claro SP U20",38,15,47,"2 "
ZULU,"04-07, 20:30"," Chippenham Town - Bristol Rovers","Chippenham Town","Bristol Rovers",42,13,45," "
ZULU,"04-07, 20:30"," Kilmarnock - Ayr Utd",Kilmarnock,"Ayr Utd",39,15,46,"4 "
ZULU,"04-07, 20:45"," Cobh Ramblers - Athlone Town","Cobh Ramblers","Athlone Town",77,13,9," "
ZULU,"04-07, 20:45"," Shelbourne - Cork City",Shelbourne,"Cork City",75,16,9," "
ZULU,"04-07, 20:45"," Derry City - Waterford","Derry City",Waterford,74,16,11," "
ZULU,"04-07, 20:45"," Kerry - Dundalk",Kerry,Dundalk,21,17,62,"5 "
ZULU,"04-07, 20:45"," Bray Wanderers - Wexford","Bray Wanderers",Wexford,48,34,18,"3 "
ZULU,"04-07, 20:45"," St Patrick's Athl. - Bohemians","St Patrick's Athl.",Bohemians,25,42,34," "
ZULU,"04-07, 21:00"," Fluminense - Al-Hilal Saudi FC",Fluminense,Al,44,31,26," "
ZULU,"04-07, 21:00"," Germany W - Poland W","Germany W","Poland W",59,28,14,"3 "
ZULU,"04-07, 21:15"," Haukar - KÃ¡ri",Haukar,Kári,43,13,43," "
ZULU,"04-07, 21:15"," Fylkir - IR Reykjavik",Fylkir,"IR Reykjavik",23,17,26," "
ZULU,"04-07, 21:15"," ThrÃ³ttur Vogar - Grotta","Thróttur Vogar",Grotta,31,16,53,"3 "
ZULU,"04-07, 22:30"," 12 de Junio VH - Sportivo CarapeguÃ¡","12 de Junio VH","Sportivo Carapeguá",52,30,19,"3 "
ZULU,"05-07, 00:00"," Coritiba - Volta Redonda",Coritiba,"Volta Redonda",71,18,11," "
ZULU,"05-07, 01:30"," Carolina Core - Fort Lauderdale CF","Carolina Core","Fort Lauderdale CF",40,29,30," "
ZULU,"05-07, 02:30"," Austin II - Los Angeles II","Austin II","Los Angeles II",40,31,29," "
ZULU,"05-07, 02:45"," FC Dallas - Minnesota United FC","FC Dallas","Minnesota United FC",23,51,26,"2 "
ZULU,"05-07, 03:00"," Palmeiras - Chelsea",Palmeiras,Chelsea,33,28,39," "
ZULU,"05-07, 06:00"," Edgeworth Eagles - Maitland","Edgeworth Eagles",Maitland,45,12,43," "
ZULU,"05-07, 07:00"," Consadole Sapporo - Renofa Yamaguchi","Consadole Sapporo","Renofa Yamaguchi",63,19,18,"2 "
ZULU,"05-07, 08:30"," Adamstown Rosebuds - Broadmeadow Magic","Adamstown Rosebuds","Broadmeadow Magic",42,11,47,"2 "
ZULU,"05-07, 12:00"," Nagoya Grampus - Tokyo Verdy","Nagoya Grampus","Tokyo Verdy",30,21,16," "
ZULU,"05-07, 18:00"," Paris Saint Germain - Bayern MÃ¼nchen","Paris Saint Germain","Bayern München",62,17,21,"2 "
ZULU,"05-07, 22:00"," Real Madrid - Borussia Dortmund","Real Madrid","Borussia Dortmund",72,15,13," "
